epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.331,1.64951,2.7146,1.27404,0.63547,0.10683,0.33706,0.15813,1.12177,3.29712,1.00163,0.000541775,0.000541775,0.000541775
2,571.839,1.38921,1.64037,1.14119,0.93319,0.64482,0.91461,0.52514,1.34865,2.34055,1.10403,0.00107571,0.00107571,0.00107571
3,876.679,1.35175,1.42182,1.1291,0.85821,0.9237,0.93622,0.60141,1.16339,1.49026,1.03488,0.00158765,0.00158765,0.00158765
4,1181.97,1.35081,1.28489,1.13211,0.86115,0.91147,0.93616,0.58786,1.23454,1.15952,1.06593,0.00156798,0.00156798,0.00156798
5,1485.74,1.29152,1.19027,1.10934,0.87115,0.9385,0.95008,0.5945,1.24594,1.12494,1.08455,0.00153497,0.00153497,0.00153497
6,1788.44,1.2948,1.12922,1.10003,0.90065,0.91526,0.94454,0.59989,1.2199,1.06658,1.08196,0.00150197,0.00150197,0.00150197
7,2086.75,1.26452,1.02823,1.08779,0.90274,0.93701,0.93778,0.60079,1.17104,0.95849,1.04742,0.00146896,0.00146896,0.00146896
8,2383.29,1.25652,1.002,1.07869,0.88483,0.93441,0.94807,0.62822,1.17633,0.99643,1.0654,0.00143595,0.00143595,0.00143595
9,2679.4,1.23646,0.93541,1.07624,0.89779,0.93196,0.95093,0.61974,1.15086,0.88243,1.03837,0.00140295,0.00140295,0.00140295
10,2975.65,1.24485,0.90785,1.08061,0.87829,0.92441,0.91755,0.61172,1.13693,0.79509,1.03788,0.00136994,0.00136994,0.00136994
11,3269.83,1.1902,0.84356,1.0571,0.90936,0.94483,0.94352,0.62942,1.16723,0.82251,1.06732,0.00133693,0.00133693,0.00133693
12,3522.05,1.21513,0.83916,1.06317,0.89728,0.96799,0.96884,0.64809,1.13163,0.7322,1.01051,0.00130393,0.00130393,0.00130393
13,3766.42,1.19234,0.81979,1.05349,0.88402,0.9635,0.94534,0.65699,1.10103,0.70037,1.02953,0.00127092,0.00127092,0.00127092
14,4036.25,1.14918,0.78386,1.02793,0.92833,0.9535,0.97822,0.66614,1.1396,0.6822,1.02299,0.00123791,0.00123791,0.00123791
15,4365.99,1.15608,0.76546,1.04637,0.90441,0.94452,0.96121,0.65184,1.12202,0.67447,1.02415,0.00120491,0.00120491,0.00120491
16,4700.08,1.13307,0.75461,1.03373,0.89694,0.94706,0.96225,0.65023,1.12718,0.66783,1.03116,0.0011719,0.0011719,0.0011719
17,5013.98,1.11049,0.71925,1.01994,0.92171,0.9456,0.96906,0.66061,1.1261,0.6315,1.02693,0.00113889,0.00113889,0.00113889
18,5305.31,1.12062,0.71651,1.03934,0.91645,0.96214,0.96869,0.65821,1.13881,0.62744,1.03526,0.00110589,0.00110589,0.00110589
19,5580.96,1.12696,0.69547,1.02518,0.90275,0.94476,0.96817,0.65382,1.1461,0.65386,1.07799,0.00107288,0.00107288,0.00107288
20,5918.69,1.10816,0.67133,1.02674,0.94905,0.91224,0.97746,0.63842,1.18433,0.64135,1.06407,0.00103987,0.00103987,0.00103987
21,6202.18,1.09777,0.67858,1.02187,0.91969,0.96456,0.97621,0.67004,1.09115,0.60587,1.00697,0.00100687,0.00100687,0.00100687
22,6446.86,1.09951,0.67894,1.01625,0.90645,0.9457,0.97229,0.67414,1.13651,0.62353,1.03605,0.000973861,0.000973861,0.000973861
23,6708.43,1.1297,0.67223,1.03725,0.94686,0.93455,0.97922,0.69292,1.08866,0.58027,1.01525,0.000940855,0.000940855,0.000940855
24,7006.27,1.07738,0.63648,1.0225,0.94373,0.9474,0.97517,0.68497,1.1198,0.57667,1.03137,0.000907848,0.000907848,0.000907848
25,7303.37,1.06642,0.63797,1.00843,0.93546,0.93104,0.97081,0.68617,1.08496,0.58667,1.01105,0.000874842,0.000874842,0.000874842
26,7565.19,1.05433,0.65068,1.01068,0.94012,0.92025,0.97223,0.6799,1.09114,0.60765,1.02017,0.000841835,0.000841835,0.000841835
27,7844.98,1.05,0.62376,1.01566,0.96065,0.92559,0.96984,0.66768,1.11417,0.59566,1.04003,0.000808828,0.000808828,0.000808828
28,8151.7,1.06436,0.61933,1.00782,0.92141,0.96559,0.97912,0.68203,1.07874,0.56347,1.00735,0.000775822,0.000775822,0.000775822
29,8457.17,1.0254,0.60732,0.99589,0.92975,0.9628,0.97882,0.6809,1.07683,0.55718,1.00926,0.000742815,0.000742815,0.000742815
30,8762.02,1.04812,0.59591,1.00908,0.91689,0.97177,0.97973,0.67705,1.07171,0.54128,1.00448,0.000709809,0.000709809,0.000709809
31,9060.31,1.04592,0.61164,0.99405,0.93183,0.95803,0.982,0.66796,1.14934,0.57762,1.04932,0.000676802,0.000676802,0.000676802
32,9294.86,1.02416,0.59545,0.99942,0.93754,0.95766,0.97775,0.70675,1.03635,0.52702,0.99114,0.000643795,0.000643795,0.000643795
33,9528.02,1.02213,0.5949,0.9866,0.95103,0.93256,0.97723,0.67531,1.08053,0.54534,1.00836,0.000610789,0.000610789,0.000610789
34,9769.06,1.01422,0.57136,0.98081,0.92392,0.96012,0.98182,0.68984,1.07364,0.5446,1.00957,0.000577782,0.000577782,0.000577782
35,10064.3,0.99772,0.57356,0.99067,0.94377,0.95124,0.9796,0.68717,1.07664,0.52475,1.01246,0.000544776,0.000544776,0.000544776
36,10296.1,1.00604,0.5764,0.9856,0.94657,0.95383,0.97428,0.68542,1.06668,0.52333,1.00366,0.000511769,0.000511769,0.000511769
37,10581.3,0.9933,0.56438,0.97397,0.95177,0.94151,0.97943,0.69459,1.06791,0.522,1.00907,0.000478762,0.000478762,0.000478762
38,10931.9,0.96987,0.54172,0.97458,0.95092,0.94885,0.97968,0.69289,1.0705,0.50974,1.01025,0.000445756,0.000445756,0.000445756
39,11269.8,0.9721,0.53474,0.97065,0.9444,0.95588,0.9766,0.6946,1.06083,0.51571,1.00623,0.000412749,0.000412749,0.000412749
40,11619.5,0.96429,0.54987,0.97431,0.94786,0.94451,0.97803,0.68869,1.07186,0.50626,0.99984,0.000379743,0.000379743,0.000379743
41,11938.3,0.92987,0.50312,0.9694,0.94505,0.95398,0.97409,0.68278,1.08825,0.50507,1.01508,0.000346736,0.000346736,0.000346736
42,12226.6,0.89509,0.473,0.95144,0.93514,0.95172,0.97037,0.67884,1.09131,0.512,1.03557,0.000313729,0.000313729,0.000313729
43,12475.8,0.88355,0.46091,0.94645,0.95867,0.93425,0.97685,0.69748,1.04166,0.49686,1.0028,0.000280723,0.000280723,0.000280723
44,12705.5,0.86943,0.45805,0.93419,0.94598,0.95904,0.97902,0.69627,1.04981,0.49004,0.99264,0.000247716,0.000247716,0.000247716
45,12956.5,0.89091,0.4634,0.95046,0.92592,0.9649,0.9784,0.69073,1.05802,0.50353,1.00256,0.00021471,0.00021471,0.00021471
46,13203,0.87304,0.45767,0.93379,0.94069,0.95061,0.97583,0.68431,1.05174,0.4935,1.00802,0.000181703,0.000181703,0.000181703
47,13444.7,0.85679,0.44679,0.94038,0.93606,0.95762,0.97596,0.68198,1.07408,0.50094,1.01765,0.000148696,0.000148696,0.000148696
48,13673.1,0.84381,0.43298,0.93254,0.93558,0.95383,0.97945,0.69761,1.04221,0.48858,0.99624,0.00011569,0.00011569,0.00011569
49,13902.6,0.82296,0.42921,0.92609,0.93763,0.95588,0.97892,0.69537,1.06371,0.49061,1.00293,8.26832e-05,8.26832e-05,8.26832e-05
50,14129.7,0.84126,0.42273,0.93242,0.94118,0.96085,0.98019,0.69825,1.06224,0.48982,1.00174,4.96766e-05,4.96766e-05,4.96766e-05
